CodProv;Provincia;Vuelospes;Vuelos_pob;Vuelos;Vuelosnew
7;Baleares;284393;281.38;281638.4286;281.38
35;Las Palmas;205495;186.23;187361.7143;186.23
38;Santa Cruz de Tenerife;146595;162.76;150323.2857;162.76
28;Madrid;512051.7707;84.23;512044.1429;84.24524854
29;Malaga;118255.663;80.01;118067.7143;80.09120687
8;Barcelona;356508.5294;67.43;355270.8571;68.93471299
17;Girona;46089.69184;66.55;39573.28571;58.28920613
48;Bilbao;58025.20632;50.78;56892.14286;52.95754231
3;Alicante;77212.29488;44.23;76274.14286;44.34546047
1;Alava;15666;51.26;11082.71429;40.90245348
22;Huesca;9519.595555;42.37;8803.428571;39.90156486
43;Tarragona;32902.90932;44.37;25832.57143;36.15560894
14;Cordoba;661.4889205;0.59;39435.71429;35.30343056
11;Cadiz;41866.09431;35.11;41479.28571;34.99382156
46;Valencia;85815.77352;34.92;85712.42857;34.94058667
18;Granada;30344.50044;33.86;29629.57143;33.55500257
41;Sevilla;57263.28231;31.21;56927;31.32199527
37;Salamanca;11002.27272;31.57;10778.28571;31.16898856
39;Cantabria;17148.71282;30.08;16372.14286;29.42834845
4;Almería;17445;27.43;17384.28571;27.39162533
47;Valladolid;11851.23336;22.86;11476.28571;22.57043773
31;Navarra;12319.99321;20.38;11545.85714;20.87647342
36;Pontevedra;17817.53966;19.08;17505.71429;19.02539687
20;Gipuzkoa;11817.38665;17.04;10933.28571;17.01367095
33;Asturias;17171.09187;16.07;17115.85714;16.13301577
50;Zaragoza;12730.58354;13.59;12215;15.28689556
30;Murcia;20367.26941;14.79;16557.28571;14.21402044
26;La Rioja;4465.678824;14.45;3596.571429;13.53888306
14;Cordoba;9427.68401;12.00;9093;11.78807367
24;León;5841.996208;11.90;5629.857143;11.7266624
19;Guadalajara;50321.61381;226.29;0;8.279869187
6;Badajoz;4656.165314;6.93;4646.142857;6.923215346
45;Toledo;29918.00673;47.16;0;4.924834195
9;Burgos;1653.123929;4.45;1233.142857;4.12673353
2;Albacete;1682.24115;4.33;1496;3.944777558
34;Palencia;1887.404525;10.94;0;3.629004393
49;Zamora;1200.844833;6.14;0;3.122744496
40;Segovia;15926.30984;100.37;0;2.901953236
12;Castellon;6393.209538;11.35;0;2.616454805
5;Avila;5461;32.13;0;1.660997619
25;Lleida;1496.338457;3.64;0;1.443884128
23;Jaen;740.7062518;1.12;0;0.834461819
27;Lugo;830.9860849;2.36;0;0.749803903
21;Huelva;1333.487684;2.69;0;0.72956759
32;Ourense;332.0907732;1.00;0;0.349320597
42;Soria;152.2292478;1.63;0;0.264277998
10;Caceres;139.6470571;0.34;0;0.205164903
15;Coruña;39574.16326;187.77;0;0.124471154
44;Teruel;271.9986307;1.90;0;0.117571805
13;Ciudad Real;260.1657044;0.51;0;0.047478613
51;Ceuta;0;0;0;0
52;Melilla;0;0;0;0
