CodProv;Provincia;Pob2016
1;Alava;324126
2;Albacete;392118
3;Alicante;1836459
4;Almeria;704297
5;Avila;162514
6;Badajoz;684113
7;Baleares;284393
8;Barcelona;5542680
9;Burgos;360995
10;Caceres;403665
11;Cadiz;1239889
12;Castellon;579245
13;Ciudad Real;506888
14;Cordoba;791610
16;Cuenca;201071
15;Coruna;1122799
17;Girona;753576
18;Granada;915392
19;Guadalajara;252882
20;Gipuzkoa;717832
21;Huelva;519596
22;Huesca;221079
23;Jaen;648250
24;Leon;473604
25;Lleida;434041
26;La Rioja;315794
27;Lugo;336527
28;Madrid;6466996
29;Malaga;1629298
30;Murcia;1464847
31;Navarra;640647
32;Ourense;314853
33;Asturias;1042608
34;Palencia;164644
35;Las Palmas;1097800
36;Pontevedra;944346
37;Salamanca;335985
38;Santa Cruz de Tenerife;1004124
39;Cantabria;582206
40;Segovia;155652
41;Sevilla;1939775
42;Soria;90040
43;Tarragona;792299
44;Teruel;136977
45;Toledo;688672
46;Valencia;2544264
47;Valladolid;523679
48;Bizkaia;1147576
49;Zamora;180406
50;Zaragoza;950507
