CodProv;Provincia;Vuelospescut
1;Alava;3
2;Albacete;2
3;Alicante;5
4;Almeria;3
5;Avila;2
6;Badajoz;2
7;Baleares;5
8;Barcelona;5
9;Burgos;2
10;Caceres;1
11;Cadiz;4
12;Castellon;2
13;Ciudad Real;1
14;Cordoba;1
16;Cuenca;2
15;Coruna;3
17;Girona;4
18;Granada;3
19;Guadalajara;5
20;Gipuzkoa;2
21;Huelva;1
22;Huesca;2
23;Jaen;1
24;Le�n;2
25;Lleida;1
26;La Rioja;2
27;Lugo;1
28;Madrid;5
29;Malaga;5
30;Murcia;3
31;Navarra;3
32;Ourense;1
33;Asturias;3
34;Palencia;2
35;Las Palmas;5
36;Pontevedra;3
37;Salamanca;2
38;Santa Cruz de Tenerife;5
39;Cantabria;3
40;Segovia;3
41;Sevilla;5
42;Soria;1
43;Tarragona;3
44;Teruel;1
45;Toledo;3
46;Valencia;5
47;Valladolid;2
48;Bilbao;5
49;Zamora;1
50;Zaragoza;3
